KuritaLocals,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z
mechdef_dragon_DRG-1N,230,,223,,83,,83
mechdef_vonrohrs_VON-4RH-6,3,,3,,2,,2
mechdef_vonrohrs_VON-4RH-5,3,,3,,2,,2
mechdef_quickdraw_QKD-4G,41,,39,,40,,40
mechdef_quickdraw_QKD-5A,18,,17,,18,,18
mechdef_dragon_DRG-1C,7,,7,,5,,7
mechdef_merlin_MLN-1A,5,,4,,5,,5
mechdef_dragon_DRG-5N,0,,0,3043-01-01T00:00:00Z,25,,25
mechdef_ostroc_OSR-2C,26,,25,,25,,25
mechdef_ostroc_OSR-2L,3,,2,3049-12-01T00:00:00Z,0,,0
mechdef_lancelot_LNC25-02,85,,81,,83,,83
mechdef_quickdraw_QKD-4H,7,,7,,7,,7
mechdef_ostsol_OTL-4D,41,,39,,40,,25
mechdef_ostroc_OSR-3C,3,,2,,3,,0
mechdef_crusader_CRD-3K,18,,17,,18,,18
mechdef_orion_ON1-V,3,,2,,3,,0
mechdef_warhammer_WHM-6R,38,,36,,37,,40
mechdef_granddragon_DRG-1G,5,,25,,50,,40
mechdef_warhammer_WHM-6K,13,,12,,13,,13
mechdef_crusader_CRD-3R,52,,48,,50,,50
mechdef_catapult_CPLT-K2,7,,25,,25,,25
mechdef_orion_ON1-VA,3,,2,3049-12-01T00:00:00Z,0,,0
mechdef_thunderbolt_TDR-5S,52,,49,,50,,50
mechdef_bombardier_BMB-10D,13,,12,,7,,7
mechdef_archer_ARC-2K,85,,81,,83,,83
mechdef_marauder_MAD-3R,18,,17,,18,,18
mechdef_guillotine_GLT-4P,3,,2,,3,,0
mechdef_catapult_CPLT-C1,5,,4,,5,,5
mechdef_guillotine_GLT-4L,13,,17,,25,,0
mechdef_grasshopper_GHR-5H,16,,15,,24,,25
mechdef_orion_ON1-K,18,,17,,18,,18
mechdef_grasshopper_GHR-4R,2,,2,,1,,1
mechdef_blackknight_BL-7-KNT,3,,2,3049-12-01T00:00:00Z,0,,0
mechdef_stalker_STK-4P,5,,4,,5,,5
mechdef_archer_ARC-2R,52,,46,,41,,45
mechdef_grasshopper_GHR-5N,0,,0,3040-01-01T00:00:00Z,5,,5
mechdef_warhammer_WHM-6Rk,0,,0,3047-01-01T00:00:00Z,3,,5
mechdef_marauder_MAD-5D,0,,0,3047-01-01T00:00:00Z,5,,13
Assaults,,,,,,,
mechdef_charger_CGR-1A1,182,,226,,193,,158
mechdef_cyclops_CP-10-HQ,9,,7,,6,,0
mechdef_daboku_DCMS-MX90-D,0,3038-01-01T00:00:00Z,49,,0,,0
mechdef_cyclops_CP-10-Z,64,,48,,41,,33
mechdef_zeus_ZEU-6Y,3,,3,,3,,3
mechdef_longbow_LGB-0W,64,,48,,41,,33
mechdef_victor_VTR-9B,64,,48,,41,,33
mechdef_charger_CGR-1A9,0,3034-01-01T00:00:00Z,12,,29,,33
mechdef_banshee_BNC-3E,147,,110,,93,,77
mechdef_goliath_GOL-1H,9,,7,,6,,9
mechdef_awesome_AWS-8R,9,,7,,6,,0
mechdef_striker_STC-2C,16,,12,,29,,24
mechdef_thug_THG-10E,0,,34,,29,,0
mechdef_awesome_AWS-8V,9,,7,,6,,0
mechdef_battlemaster_BLR-1G,46,,34,,29,,24
mechdef_cyclops_CP-11-A,0,,0,3045-01-01T00:00:00Z,6,,0
mechdef_cyclops_CP-11-C,0,,0,3049-12-01T00:00:00Z,6,,0
mechdef_stalker_STK-4N,9,,7,,6,,0
mechdef_stalker_STK-3F,92,,68,,58,,48
mechdef_cyclops_CP-10-Q,16,,12,,11,,9
mechdef_awesome_AWS-8T,9,,7,,6,,0
mechdef_awesome_AWS-8Q,92,,68,,58,,48
mechdef_longbow_LGB-7Q,26,,19,,16,,13
mechdef_stalker_STK-3H,9,,7,,6,,0
mechdef_crockett_CRK-5003-0,0,3025-01-01T00:00:00Z,19,,29,,0
mechdef_victor_VTR-9K,0,,0,,0,,77
mechdef_atlas_AS7-A,16,,12,,11,,12
mechdef_highlander_HGN-733,0,3025-01-01T00:00:00Z,19,,16,,0
mechdef_kingcrab_KGC-0000,16,,12,,11,,0
mechdef_atlas_AS7-D-K,3,,3,,3,,3
mechdef_atlas_AS7-LL,1,,1,,1,,1
mechdef_atlas_AS7-D,46,,34,,29,,21
