NovaCatVehicles,,,,,,,,,
vehicledef_ONTOS,0,,0,,0,3058-01-01T00:00:00Z,3,,6
vehicledef_HUITZILOPOCHTLI,21,,21,,47,,19,,34
vehicledef_ONTOS_3053,0,,0,,0,3058-01-01T00:00:00Z,7,,13
vehicledef_FURY_ROYAL,14,,14,,32,,5,,10
vehicledef_STURMFEUR,0,,0,,0,3060-01-01T00:00:00Z,11,,21
vehicledef_RHINO_MG,27,,27,,60,,16,,31
vehicledef_RHINO,10,,10,,21,,4,,8
vehicledef_PUMA_PAT-005b,51,,51,,112,,20,,40
vehicledef_DEMOLISHER_CLAN,0,,0,,0,3058-01-01T00:00:00Z,34,,59
vehicledef_RHINO_ROYAL,27,,27,,60,,8,,16
vehicledef_ALACORN_MK-VI,0,,0,,0,3060-01-01T00:00:00Z,10,,20
vehicledef_MARS_ATM,0,,0,,0,,0,3065-01-01T00:00:00Z,24
vehicledef_MARS,62,,62,,136,,55,,95
