RasalhagueA,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dates,3034-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
mechdef_panther_PNT-9R,45,,36,,47,,8
mechdef_dasher_fire_moth-H,0,,0,3060-01-01T00:00:00Z,2,,2
mechdef_panther_PNT-CA,0,,0,3055-01-01T00:00:00Z,11,,13
mechdef_panther_PNT-10KA,0,,0,3055-01-01T00:00:00Z,11,,9
mechdef_venom_SDR-9K,0,,0,3055-01-01T00:00:00Z,27,,31
mechdef_wasp_WSP-105,6,,6,,0,,0
mechdef_firestarter_FS9-S1,0,,0,3055-01-01T00:00:00Z,9,,7
mechdef_dasher_fire_moth-E,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_panther_PNT-C,0,,0,3051-01-01T00:00:00Z,43,,37
mechdef_javelin_JVN-10F,1,,1,,3,,5
mechdef_panther_PNT-10K,0,,0,3055-01-01T00:00:00Z,43,,37
mechdef_koshi_mist_lynx-D,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_razorback_RZK-9S,0,,0,,0,3067-01-01T00:00:00Z,15
mechdef_koshi_mist_lynx-PRIME,0,,0,3060-01-01T00:00:00Z,8,,6
mechdef_jenner_JR7-D,23,,18,,41,,8
mechdef_jenner_JR7-K,0,3049-01-01T00:00:00Z,10,,38,,67
mechdef_jackal_JA-KL-1532,0,,0,3055-01-01T00:00:00Z,13,,16
mechdef_hitman_HM-1,0,,0,3056-01-01T00:00:00Z,15,,16
mechdef_hollander_BZK-F3,0,,0,3055-01-01T00:00:00Z,27,,31
mechdef_tarantula_ZPH-4A,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_locust_IIC-3,0,,0,,0,3067-01-01T00:00:00Z,3
mechdef_koshi_mist_lynx-H,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_koshi_mist_lynx-E,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_hermes_HER-4S,0,,0,3057-01-01T00:00:00Z,11,,18
mechdef_falconhawk_FNHK-9K,0,,0,3057-01-01T00:00:00Z,4,,4
mechdef_falconhawk_FNHK-9K1A,0,,0,3057-01-01T00:00:00Z,15,,18
mechdef_wolfhound_WLF-2,0,,0,3052-01-01T00:00:00Z,27,,31
mechdef_dasher_fire_moth-B,0,,0,3060-01-01T00:00:00Z,4,,3
mechdef_koshi_mist_lynx-P,0,,0,3061-01-01T00:00:00Z,1,,1
mechdef_stinger_STG-A5,4,,4,,0,,0
mechdef_hankyu_arctic_cheetah-B,0,,0,3060-01-01T00:00:00Z,4,,3
mechdef_hankyu_arctic_cheetah-D,0,,0,3060-01-01T00:00:00Z,3,,2
mechdef_locust_IIC,0,,0,,0,3067-01-01T00:00:00Z,6
mechdef_hankyu_arctic_cheetah-A,0,,0,3060-01-01T00:00:00Z,6,,4
mechdef_razorback_RZK-9T,0,,0,,0,3067-01-01T00:00:00Z,7
mechdef_koshi_mist_lynx-F,0,,0,,0,3063-01-01T00:00:00Z,1
mechdef_koshi_mist_lynx-B,0,,0,3060-01-01T00:00:00Z,3,,2
mechdef_dasher_fire_moth-PRIME,0,,0,3060-01-01T00:00:00Z,6,,4
mechdef_puma_adder-D,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_hankyu_arctic_cheetah-H,0,,0,,0,3062-01-01T00:00:00Z,1
mechdef_puma_adder-E,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_koshi_mist_lynx-C,0,,0,3060-01-01T00:00:00Z,2,,1
mechdef_hankyu_arctic_cheetah-PRIME,0,,0,3060-01-01T00:00:00Z,9,,6
mechdef_puma_adder-C,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_puma_adder-B,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_puma_adder-S,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_puma_adder-A,0,,0,,0,3067-01-01T00:00:00Z,3
mechdef_puma_adder-H,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_hankyu_arctic_cheetah-C,0,,0,3060-01-01T00:00:00Z,2,,1
mechdef_puma_adder-PRIME,0,,0,,0,3067-01-01T00:00:00Z,4
mechdef_dasher_fire_moth-D,0,,0,3060-01-01T00:00:00Z,6,,4
Mediums,,,,,,,
mechdef_vulcan_VL-2T,4,,8,,36,,6
mechdef_cicada_CDA-2A,4,,6,,3,,0
mechdef_assassin_ASN-21,7,,14,,41,,0
mechdef_clint_CLNT-2-3T,5,,10,,27,,4
mechdef_hermesII_HER-2S,8,,16,,0,,0
mechdef_vulcan_VL-5M,0,,0,3055-01-01T00:00:00Z,7,,7
mechdef_cicada_CDA-3M,0,3049-01-01T00:00:00Z,1,,15,,8
mechdef_dervish_DV-1S,0,,0,,0,3067-01-01T00:00:00Z,7
mechdef_vulcan_VL-5S,0,,0,3055-01-01T00:00:00Z,10,,14
mechdef_whitworth_WTH-1S,1,,1,,0,,0
mechdef_vulcan_VL-5T,1,,1,,9,,8
mechdef_centurion_CN9-A,3,,5,,7,,3
mechdef_centurion_CN9-AH,1,,1,,0,,0
mechdef_blackjack_BJ-1,4,,7,,41,,8
mechdef_vindicator_VND-1AA,3,,7,,44,,32
mechdef_firestarter_FS9-OA,0,,0,3057-01-01T00:00:00Z,7,,6
mechdef_whitworth_WTH-1,4,,9,,20,,0
mechdef_trebuchet_TBT-5S,3,,6,,23,,6
mechdef_trebuchet_TBT-7K,1,,3,,0,,0
mechdef_firestarter_FS9-OE,0,,0,3058-01-01T00:00:00Z,5,,6
mechdef_wolf_trap_tora_WFT-C,0,,0,3060-01-01T00:00:00Z,6,,19
mechdef_wyvern_WVE-6N,5,,2,,9,,4
mechdef_firestarter_FS9-OC,0,,0,3057-01-01T00:00:00Z,7,,6
mechdef_hatchetman_HCT-5S,0,3049-01-01T00:00:00Z,6,,46,,38
mechdef_hunchback_HBK-4G,9,,14,,57,,11
mechdef_hunchback_HBK-5N,0,,0,3057-01-01T00:00:00Z,32,,26
mechdef_phoenixhawk_PXH-1,21,,25,,80,,15
mechdef_hunchback_HBK-4SP,1,,2,,14,,8
mechdef_hunchback_HBK-5M,0,3049-01-01T00:00:00Z,2,,16,,9
mechdef_centurion_CN9-AL,1,,1,,0,,0
mechdef_daimyo_DMO-2K,0,,0,3056-01-01T00:00:00Z,18,,16
mechdef_firestarter_FS9-OG,0,,0,,0,3063-01-01T00:00:00Z,4
mechdef_shadowhawk_SHD-2H,7,,15,,66,,12
mechdef_hunchback_HBK-4H,1,,2,,20,,8
mechdef_firestarter_FS9-OB,0,,0,3057-01-01T00:00:00Z,7,,6
mechdef_wolftrap_WFT-1,0,,0,3051-01-01T00:00:00Z,22,,19
mechdef_phoenixhawk_PXH-1K,11,,18,,40,,15
mechdef_clint_CLNT-2-3U,0,,0,3055-01-01T00:00:00Z,30,,21
mechdef_daimyo_DMO-5K,0,,0,,0,3067-01-01T00:00:00Z,8
mechdef_hunchback_HBK-4N,1,,2,,20,,8
mechdef_wyvern_WVE-5N,0,3049-01-01T00:00:00Z,9,,54,,42
mechdef_wolverine_WVR-6R,11,,21,,31,,5
mechdef_vindicator_VND-3L,0,,0,3055-01-01T00:00:00Z,6,,7
mechdef_cobra_CBR-02,0,,0,3061-01-01T00:00:00Z,10,,53
mechdef_centurion_CN9-D,0,,0,3055-01-01T00:00:00Z,11,,4
mechdef_hunchback_HBK-4P,2,,2,,20,,8
mechdef_crab_CRB-20,3,,5,,33,,0
mechdef_hunchback_HBK-4J,1,,2,,20,,8
mechdef_firestarter_FS9-O,0,,0,3056-01-01T00:00:00Z,10,,8
mechdef_dervish_DV-6M,7,,4,,23,,10
mechdef_shadowhawk_SHD-2K,7,,11,,47,,8
mechdef_daimyo_DMO-1K,0,,0,3053-01-01T00:00:00Z,103,,66
mechdef_daimyo_DMO-4K,0,,0,3058-01-01T00:00:00Z,18,,16
mechdef_blackjack_BJ2-OC,0,,0,3057-01-01T00:00:00Z,6,,5
mechdef_firestarter_FS9-OX,0,,0,3059-01-01T00:00:00Z,1,,1
mechdef_trebuchet_TBT-5N,6,,11,,66,,13
mechdef_crab_CRB-27_actual,0,,0,3058-01-01T00:00:00Z,36,,14
mechdef_blackjack_BJ2-O,0,,0,3057-01-01T00:00:00Z,8,,6
mechdef_fenris_ice_ferret-C,0,,0,3060-01-01T00:00:00Z,3,,3
mechdef_lineholder_KW1-LH3,0,,0,3059-01-01T00:00:00Z,5,,4
mechdef_centurion_CN10-B,0,,0,3057-01-01T00:00:00Z,16,,8
mechdef_wolverine_WVR-6K,5,,5,,0,,0
mechdef_griffin_GRF-1S,8,,17,,30,,8
mechdef_blackjack_BJ2-OE,0,,0,3059-01-01T00:00:00Z,4,,6
mechdef_cicada_CDA-3G,0,,0,3056-01-01T00:00:00Z,8,,8
mechdef_griffin_GRF-1N,32,,47,,84,,11
mechdef_lineholder_KW1-LH2,0,,0,3059-01-01T00:00:00Z,73,,56
mechdef_griffin_GRF-1DS,0,3049-01-01T00:00:00Z,8,,47,,28
mechdef_phoenixhawk_PXH-3M,0,3049-01-01T00:00:00Z,6,,45,,37
mechdef_crab_CRB-27b,0,,0,,0,3067-01-01T00:00:00Z,19
mechdef_blackjack_BJ2-OA,0,,0,3057-01-01T00:00:00Z,6,,5
mechdef_beowulf_BEO-12,0,,0,3059-01-01T00:00:00Z,72,,85
mechdef_firestarter_FS9-OD,0,,0,3057-01-01T00:00:00Z,7,,6
mechdef_blackjack_BJ2-OB,0,,0,3057-01-01T00:00:00Z,6,,5
mechdef_fenris_ice_ferret-A,0,,0,3060-01-01T00:00:00Z,6,,6
mechdef_cicada_CDA-3F,0,,0,3055-01-01T00:00:00Z,5,,4
mechdef_wolverine_WVR-7K,0,,0,3050-01-01T00:00:00Z,68,,37
mechdef_dragonfly_viper-C,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_trebuchet_TBT-7M,0,,0,3055-01-01T00:00:00Z,18,,15
mechdef_hunchback_HBK-5S,0,,0,3058-01-01T00:00:00Z,16,,13
mechdef_kintaro_KTO-20,0,,0,3055-01-01T00:00:00Z,65,,61
mechdef_phoenixhawk_PXH-3K,0,,0,3050-01-01T00:00:00Z,178,,148
mechdef_blackjack_BJ2-OD,0,,0,3057-01-01T00:00:00Z,6,,5
mechdef_blackjack_BJ2-OF,0,,0,3061-01-01T00:00:00Z,1,,2
mechdef_shadowhawk_SHD-5M,0,3049-01-01T00:00:00Z,2,,37,,40
mechdef_firestarter_FS9-OF,0,,0,3060-01-01T00:00:00Z,3,,4
mechdef_black_hawk_nova-D,0,,0,3060-01-01T00:00:00Z,3,,3
mechdef_dragonfly_viper-PRIME,0,,0,,0,3067-01-01T00:00:00Z,7
mechdef_fenris_ice_ferret-B,0,,0,3060-01-01T00:00:00Z,4,,4
mechdef_phoenixhawk_PXH-HK2M,1,,2,,0,,0
mechdef_fenris_ice_ferret-E,0,,0,3060-01-01T00:00:00Z,2,,1
mechdef_starslayer_STY-3C,0,,0,3057-01-01T00:00:00Z,65,,53
mechdef_crab_CRB-30,0,,0,3061-01-01T00:00:00Z,26,,28
mechdef_black_hawk_nova-C,0,,0,3060-01-01T00:00:00Z,4,,4
mechdef_griffin_GRF-3M,0,,0,3055-01-01T00:00:00Z,66,,39
mechdef_komodo_KIM-2,0,,0,3055-01-01T00:00:00Z,57,,48
mechdef_black_hawk_nova-B,0,,0,3060-01-01T00:00:00Z,6,,6
mechdef_phoenixhawk_PXH-HK2,2,,2,,0,,0
mechdef_dragonfly_viper-E,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_wolverine_WVR-8K,0,,0,,0,3064-01-01T00:00:00Z,16
mechdef_fenris_ice_ferret-H,0,,0,3061-01-01T00:00:00Z,1,,1
mechdef_fenris_ice_ferret-D,0,,0,3060-01-01T00:00:00Z,3,,3
mechdef_fenris_ice_ferret-PRIME,0,,0,3060-01-01T00:00:00Z,12,,12
mechdef_hunchback_IIC,0,,0,3058-01-01T00:00:00Z,56,,36
mechdef_firestarter_FS9-OR,0,,0,3059-01-01T00:00:00Z,1,,1
mechdef_dragonfly_viper-H,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_dragonfly_viper-D,0,,0,,0,3067-01-01T00:00:00Z,3
mechdef_griffin_GRF-6S,0,,0,,0,3066-01-01T00:00:00Z,14
mechdef_dragonfly_viper-B,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_black_hawk_nova-H,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_dragonfly_viper-A,0,,0,,0,3067-01-01T00:00:00Z,3
mechdef_blackjack_BJ2-OR,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_black_hawk_nova-S,0,,0,3060-01-01T00:00:00Z,1,,1
mechdef_black_hawk_nova-E,0,,0,3060-01-01T00:00:00Z,2,,1
mechdef_black_hawk_nova-A,0,,0,3060-01-01T00:00:00Z,9,,8
mechdef_black_hawk_nova-PRIME,0,,0,3060-01-01T00:00:00Z,6,,6
Heavies,,,,,,,
mechdef_jagermech_JM6-S,0,3049-01-01T00:00:00Z,10,,6,,5
mechdef_jagermech_JM6-DD,0,3049-01-01T00:00:00Z,1,,15,,40
mechdef_rifleman_RFL-3N,4,,9,,39,,27
mechdef_champion_CHP-2N,1,,4,,15,,12
mechdef_dragon_DRG-1N,28,,44,,27,,21
mechdef_quickdraw_QKD-4G,8,,17,,9,,6
mechdef_quickdraw_QKD-5A,2,,6,,3,,6
mechdef_dragon_DRG-1C,4,,8,,0,,0
mechdef_dragon_DRG-5N,0,3049-01-01T00:00:00Z,16,,51,,88
mechdef_quickdraw_QKD-C,0,,0,3055-01-01T00:00:00Z,13,,34
mechdef_rifleman_RFL-5M,0,,0,3055-01-01T00:00:00Z,26,,40
mechdef_ostroc_OSR-2C,3,,7,,9,,5
mechdef_champion_CHP-1N2,0,3049-01-01T00:00:00Z,1,,7,,18
mechdef_ostroc_OSR-2L,1,,3,,5,,7
mechdef_lancelot_LNC25-02,1,,5,,8,,4
mechdef_quickdraw_QKD-5M,0,,0,3055-01-01T00:00:00Z,6,,17
mechdef_quickdraw_QKD-4H,2,,6,,5,,6
mechdef_quickdraw_QKD-5K,0,,0,3055-01-01T00:00:00Z,13,,24
mechdef_crusader_CRD-4K,0,3049-01-01T00:00:00Z,3,,34,,61
mechdef_ostsol_OTL-4D,4,,9,,19,,13
mechdef_ostroc_OSR-3C,1,,3,,5,,7
mechdef_crusader_CRD-3K,4,,12,,6,,7
mechdef_orion_ON1-V,1,,2,,2,,2
mechdef_warhammer_WHM-6R,13,,24,,43,,37
mechdef_granddragon_DRG-1G,8,,13,,11,,9
mechdef_blackhawk-ku_BHKU-OB,0,,0,3056-01-01T00:00:00Z,6,,13
mechdef_warhammer_WHM-6K,3,,8,,15,,0
mechdef_crusader_CRD-3R,12,,17,,13,,7
mechdef_catapult_CPLT-K2,3,,9,,10,,10
mechdef_granddragon_DRG-C,0,,0,3050-01-01T00:00:00Z,15,,37
mechdef_orion_ON1-VA,1,,2,,2,,5
mechdef_thunderbolt_TDR-5S,16,,37,,56,,30
mechdef_rifleman_IIC-2,0,,0,,0,3067-01-01T00:00:00Z,15
mechdef_grasshopper_GHR-5J,0,3049-01-01T00:00:00Z,1,,6,,14
mechdef_archer_ARC-2K,3,,4,,4,,3
mechdef_granddragon_DRG-5K,0,,0,3050-01-01T00:00:00Z,11,,26
mechdef_marauder_MAD-3R,6,,7,,6,,4
mechdef_grasshopper_GHR-C,0,,0,3055-01-01T00:00:00Z,6,,14
mechdef_axman_AXM-1N,0,,0,3055-01-01T00:00:00Z,8,,20
mechdef_avatar_AV1-O,0,,0,3056-01-01T00:00:00Z,3,,8
mechdef_ostroc_OSR-2D,0,,0,3050-01-01T00:00:00Z,7,,16
mechdef_catapult_CPLT-C1,4,,6,,7,,10
mechdef_guillotine_GLT-4L,3,,4,,7,,3
mechdef_avatar_AV1-OC,0,,0,3056-01-01T00:00:00Z,2,,6
mechdef_crusader_CRD-5M,0,,0,3055-01-01T00:00:00Z,9,,11
mechdef_orion_ON1-M,0,,0,3055-01-01T00:00:00Z,4,,10
mechdef_guillotine_GLT-3N,0,3049-01-01T00:00:00Z,5,,12,,22
mechdef_lancelot_LNC25-01,0,3049-01-01T00:00:00Z,1,,11,,18
mechdef_grasshopper_GHR-5H,8,,14,,17,,13
mechdef_orion_ON1-K,5,,10,,5,,3
mechdef_blackknight_BL-7-KNT,1,,4,,11,,8
mechdef_orion_ON1-M-DC,0,,0,3055-01-01T00:00:00Z,2,,7
mechdef_catapult_CPLT-K5,0,,0,3058-01-01T00:00:00Z,13,,31
mechdef_stalker_STK-4P,1,,2,,6,,19
mechdef_crusader_CRD-5K,0,,0,,0,3063-01-01T00:00:00Z,21
mechdef_marauder_MAD-5M,0,,0,3051-01-01T00:00:00Z,3,,6
mechdef_avatar_AV1-OD,0,,0,3060-01-01T00:00:00Z,1,,4
mechdef_archer_ARC-2R,5,,8,,6,,3
mechdef_ostroc_OSR-2Cb,0,,0,,0,3067-01-01T00:00:00Z,7
mechdef_avatar_AV1-OA,0,,0,3056-01-01T00:00:00Z,2,,6
mechdef_warhammer_WHM-7M,0,3049-01-01T00:00:00Z,4,,20,,55
mechdef_thunderbolt_TDR-7M,0,,0,3055-01-01T00:00:00Z,18,,31
mechdef_avatar_AV1-OB,0,,0,3056-01-01T00:00:00Z,2,,6
mechdef_orion_ON1-MA,0,,0,3055-01-01T00:00:00Z,2,,5
mechdef_orion_ON1-MC,0,,0,3058-01-01T00:00:00Z,2,,5
mechdef_grasshopper_GHR-5N,0,3040-01-01T00:00:00Z,2,,6,,18
mechdef_rifleman_RFL-7M,0,,0,,0,3067-01-01T00:00:00Z,28
mechdef_jagermechiii_JM6-D3,0,,0,3060-01-01T00:00:00Z,16,,55
mechdef_blackhawk-ku_BHKU-OD,0,,0,3056-01-01T00:00:00Z,6,,13
mechdef_blackknight_BL-6-KNT,0,3049-01-01T00:00:00Z,1,,5,,24
mechdef_avatar_AV1-OE,0,,0,,0,3062-01-01T00:00:00Z,4
mechdef_catapult_CPLT-C1b,0,,0,,0,3067-01-01T00:00:00Z,11
mechdef_quickdraw_QKD-8K,0,,0,,0,3064-01-01T00:00:00Z,12
mechdef_loki_hellbringer-B,0,,0,3060-01-01T00:00:00Z,3,,7
mechdef_blackhawk-ku_BHKU-OC,0,,0,3056-01-01T00:00:00Z,6,,13
mechdef_grasshopper_GHR-6K,0,,0,,0,3064-01-01T00:00:00Z,28
mechdef_archer_ARC-5CS,0,,0,3052-01-01T00:00:00Z,2,,3
mechdef_jagermech_JM6-DG,0,,0,3054-01-01T00:00:00Z,2,,5
mechdef_jagermech_JM6-DGr,0,,0,3058-01-01T00:00:00Z,3,,7
mechdef_avatar_AV1-OF,0,,0,,0,3064-01-01T00:00:00Z,3
mechdef_archer_ARC-5R,0,,0,3050-01-01T00:00:00Z,15,,22
mechdef_archer_ARC-6S,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_gallowglas_GAL-1GLS,0,,0,3055-01-01T00:00:00Z,26,,44
mechdef_cestus_CTS-6Y,0,,0,3055-01-01T00:00:00Z,16,,28
mechdef_no-dachi_NDA-1K,0,,0,3060-01-01T00:00:00Z,11,,39
mechdef_blackhawk-ku_BHKU-O,0,,0,3056-01-01T00:00:00Z,8,,19
mechdef_warhammer_WHM-8D,0,,0,,0,3066-01-01T00:00:00Z,55
mechdef_archer_ARC-8M,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_blackhawk-ku_BHKU-OA,0,,0,3056-01-01T00:00:00Z,6,,13
mechdef_avatar_AV1-OG,0,,0,3056-01-01T00:00:00Z,2,,6
mechdef_barghest_BGS-1T,0,,0,3060-01-01T00:00:00Z,11,,39
mechdef_marauder_MAD-5D,0,3047-01-01T00:00:00Z,3,,8,,17
mechdef_marauder_MAD-5S,0,,0,3055-01-01T00:00:00Z,3,,6
mechdef_wardog_WR-DG-02FC,0,,0,3052-01-01T00:00:00Z,26,,31
mechdef_avatar_AV1-OR,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_loki_hellbringer-F,0,,0,3060-01-01T00:00:00Z,2,,5
mechdef_dragonfire_DGR-3F,0,,0,3059-01-01T00:00:00Z,16,,39
mechdef_gallowglas_GAL-2GLS,0,,0,3055-01-01T00:00:00Z,6,,3
mechdef_loki_hellbringer-A,0,,0,3060-01-01T00:00:00Z,6,,14
mechdef_loki_hellbringer-H,0,,0,3060-01-01T00:00:00Z,1,,2
mechdef_wardog_WR-DG-03FC,0,,0,,0,3064-01-01T00:00:00Z,8
mechdef_blackhawk-ku_BHKU-OE,0,,0,,0,3063-01-01T00:00:00Z,9
mechdef_loki_hellbringer-C,0,,0,3060-01-01T00:00:00Z,2,,5
mechdef_thor_summoner-A,0,,0,,0,3067-01-01T00:00:00Z,9
mechdef_thor_summoner-B,0,,0,,0,3067-01-01T00:00:00Z,6
mechdef_thor_summoner-F,0,,0,,0,3067-01-01T00:00:00Z,3
mechdef_blackhawk-ku_BHKU-OR,0,,0,3060-01-01T00:00:00Z,1,,2
mechdef_loki_hellbringer-M,0,,0,3060-01-01T00:00:00Z,1,,2
mechdef_thor_summoner-M,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_thor_summoner-PRIME,0,,0,,0,3067-01-01T00:00:00Z,12
mechdef_thor_summoner-C,0,,0,,0,3067-01-01T00:00:00Z,4
mechdef_loki_hellbringer-J,0,,0,3060-01-01T00:00:00Z,2,,4
mechdef_thor_summoner-H,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_thor_summoner-E,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_thor_summoner-D,0,,0,,0,3067-01-01T00:00:00Z,4
mechdef_loki_hellbringer-PRIME,0,,0,3060-01-01T00:00:00Z,9,,20
Assaults,,,,,,,
mechdef_charger_CGR-1A1,1,,2,,2,,0
mechdef_cyclops_CP-10-HQ,1,,3,,6,,7
mechdef_victor_VTR-9A,0,3049-01-01T00:00:00Z,3,,5,,7
mechdef_victor_VTR-9A1,0,3049-01-01T00:00:00Z,3,,5,,7
mechdef_cyclops_CP-10-Z,8,,27,,18,,4
mechdef_longbow_LGB-0W,5,,20,,10,,3
mechdef_zeus_ZEU-6S,7,,31,,14,,7
mechdef_victor_VTR-9B,10,,39,,18,,7
mechdef_charger_CGR-1A9,1,,9,,2,,0
mechdef_longbow_LGB-0W2,1,,1,,2,,2
mechdef_banshee_BNC-3E,3,,12,,10,,0
mechdef_goliath_GOL-1H,0,3049-01-01T00:00:00Z,10,,18,,13
mechdef_mauler_MAL-1R,0,3049-01-01T00:00:00Z,4,,37,,51
mechdef_awesome_AWS-8R,2,,8,,10,,7
mechdef_battlemaster_BLR-1G-DC,1,,3,,6,,6
mechdef_cyclops_CP-11-A-DC,0,3045-01-01T00:00:00Z,1,,3,,4
mechdef_awesome_AWS-8V,1,,5,,7,,10
mechdef_battlemaster_BLR-1G,6,,23,,26,,8
mechdef_manowar_gargoyle-PRIME,0,,0,3058-01-01T00:00:00Z,10,,8
mechdef_cyclops_CP-11-A,0,3045-01-01T00:00:00Z,1,,7,,14
mechdef_cyclops_CP-11-C,0,,0,3058-01-01T00:00:00Z,3,,4
mechdef_stalker_STK-4N,2,,7,,13,,13
mechdef_stalker_STK-3F,14,,53,,52,,19
mechdef_hatamotoku_HTM-27W,0,3049-01-01T00:00:00Z,5,,9,,13
mechdef_cyclops_CP-10-Q,1,,5,,6,,4
mechdef_awesome_AWS-8T,2,,8,,10,,7
mechdef_hatamotokaze_HTM-27V,0,,0,3055-01-01T00:00:00Z,13,,18
mechdef_awesome_AWS-8Q,14,,43,,28,,10
mechdef_hatamotochi_HTM-27T,0,3049-01-01T00:00:00Z,8,,37,,51
mechdef_longbow_LGB-7Q,3,,10,,7,,2
mechdef_stalker_STK-3H,2,,7,,18,,13
mechdef_battlemaster_BLR-3M-DC,0,,0,3053-01-01T00:00:00Z,3,,4
mechdef_hatamotohi_HTM-27U,0,3049-01-01T00:00:00Z,8,,21,,7
mechdef_katana_CRK-5003-2,0,3049-01-01T00:00:00Z,4,,13,,18
mechdef_zeus_ZEU-9S,0,,0,3055-01-01T00:00:00Z,21,,29
mechdef_thug_THG-11E,0,3049-01-01T00:00:00Z,5,,18,,18
mechdef_longbow_LGB-8C,1,,5,,2,,2
mechdef_stalker_STK-5M,0,,0,3050-01-01T00:00:00Z,13,,19
mechdef_charger_CGR-3K,0,3049-01-01T00:00:00Z,1,,1,,0
mechdef_battlemaster_BLR-3M,0,,0,3055-01-01T00:00:00Z,7,,8
mechdef_crockett_CRK-5003-0,0,,0,3055-01-01T00:00:00Z,31,,12
mechdef_victor_VTR-9K,0,3049-01-01T00:00:00Z,1,,27,,37
mechdef_victor_VTR-C,0,,0,3055-01-01T00:00:00Z,13,,19
mechdef_banshee_BNC-3S,0,3039-01-01T00:00:00Z,2,,4,,0
mechdef_kingcrab_KGC-0000,0,3049-01-01T00:00:00Z,7,,8,,3
mechdef_awesome_AWS-9M,0,3049-01-01T00:00:00Z,2,,21,,29
mechdef_longbow_LGB-7V,0,,0,3056-01-01T00:00:00Z,4,,5
mechdef_grandtitan_T-IT-N10M,0,,0,3055-01-01T00:00:00Z,18,,26
mechdef_manowar_gargoyle-B,0,,0,3058-01-01T00:00:00Z,3,,3
mechdef_atlas_AS7-RS,1,,3,,9,,6
mechdef_atlas_AS7-D-DC,1,,2,,6,,6
