RasalhagueAVehicles,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dates,3034-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
vehicledef_SCORPION_MRM,0,,0,3060-01-01T00:00:00Z,21,,84
vehicledef_HARASSER,7,,10,,13,,1
vehicledef_WARRIOR_H-8,0,,0,3055-01-01T00:00:00Z,34,,65
vehicledef_SCORPION_LRM,6,,6,,9,,12
vehicledef_JEdgar_ICE,1,,1,,1,,0
vehicledef_MANTIS,0,,0,3061-01-01T00:00:00Z,17,,78
vehicledef_WARRIOR_H-7C,2,,2,,2,,2
vehicledef_JEdgar_Flamer,1,,1,,1,,0
vehicledef_JEdgar_MG,1,,1,,1,,0
vehicledef_CAVALRY_LRM,0,,0,3055-01-01T00:00:00Z,2,,2
vehicledef_HAWKMOTH,0,,0,3061-01-01T00:00:00Z,7,,73
vehicledef_CAVALRY_TAG,0,,0,3059-01-01T00:00:00Z,5,,6
vehicledef_KARNOV_BA,0,,0,,0,3063-01-01T00:00:00Z,30
vehicledef_HAWKMOTH_ARMOR,0,,0,3061-01-01T00:00:00Z,3,,37
vehicledef_CAVALRY,0,,0,3055-01-01T00:00:00Z,4,,5
vehicledef_CAVALRY_SRM,0,,0,3055-01-01T00:00:00Z,1,,1
vehicledef_SCIMITAR,43,,44,,59,,3
vehicledef_JEdgar,5,,4,,3,,0
vehicledef_JEdgar_TAG,0,,0,3053-01-01T00:00:00Z,22,,0
vehicledef_STRIKER,3,,3,,6,,2
vehicledef_PEGASUS_SENSORS,2,,1,,1,,2
vehicledef_PLAINSMAN_SCOUT,0,,0,,0,3067-01-01T00:00:00Z,49
vehicledef_STRIKER_SRM,2,,2,,3,,1
vehicledef_SALADIN_ARMOR,7,,6,,4,,3
vehicledef_SALADIN,28,,31,,34,,11
vehicledef_HUNTER_LRM15,1,,1,,3,,2
vehicledef_PLAINSMAN,6,,9,,24,,24
vehicledef_STRIKER_LRM,2,,2,,3,,1
vehicledef_YELLOWJACKET_ARROWIV,0,,0,,0,3067-01-01T00:00:00Z,7
vehicledef_CAVALRY_INFANTRY,0,,0,,0,3063-01-01T00:00:00Z,4
vehicledef_PEGASUS,16,,8,,7,,9
vehicledef_HUNTER_LRM10,1,,1,,3,,2
vehicledef_HUNTER,6,,6,,11,,4
vehicledef_GALLEON_GAL-102,0,3049-01-01T00:00:00Z,33,,72,,127
vehicledef_SARACEN,9,,9,,12,,4
vehicledef_HUNTER_AMMO,1,,1,,2,,2
vehicledef_PEGASUS_MISSILE,1,,1,,1,,2
vehicledef_STRIKER_AMMO,0,,0,3055-01-01T00:00:00Z,6,,12
vehicledef_SCIMITAR_MISSILE,5,,6,,7,,2
vehicledef_SALADIN_LBX,0,,0,3061-01-01T00:00:00Z,25,,113
vehicledef_YELLOWJACKET,0,,0,3058-01-01T00:00:00Z,77,,113
vehicledef_YELLOWJACKET_RAC,0,,0,,0,3066-01-01T00:00:00Z,20
vehicledef_YELLOWJACKET_AMMO,0,,0,3058-01-01T00:00:00Z,10,,14
vehicledef_SALADIN_ULTRA,0,,0,,0,3064-01-01T00:00:00Z,80
Mediums,,,,,,,
vehicledef_VEDETTE_AC2,53,,53,,99,,15
vehicledef_VEDETTE,151,,151,,198,,21
vehicledef_VEDETTE_NETC,0,,0,3056-01-01T00:00:00Z,223,,96
vehicledef_GOBLIN,4,,4,,7,,4
vehicledef_GOBLIN_SRM,1,,1,,2,,1
vehicledef_CONDOR,17,,17,,27,,2
vehicledef_GOBLIN_LRM,1,,1,,1,,1
vehicledef_FALCON,10,,10,,17,,10
vehicledef_APC_Maxim_SRM4,4,,4,,4,,2
vehicledef_VEDETTE_RAC,0,,0,,0,3067-01-01T00:00:00Z,34
vehicledef_APC_Maxim_3052AP,0,,0,3055-01-01T00:00:00Z,14,,4
vehicledef_APC_Maxim_SRM2,4,,4,,4,,1
vehicledef_APC_Maxim,35,,32,,17,,1
vehicledef_APC_Maxim_I,0,,0,3060-01-01T00:00:00Z,30,,49
vehicledef_APC_Maxim_3052U,0,,0,3055-01-01T00:00:00Z,14,,3
vehicledef_APC_Maxim_BA,0,,0,3055-01-01T00:00:00Z,39,,10
vehicledef_CHAPARRAL_MG,0,,0,,0,3062-01-01T00:00:00Z,4
vehicledef_CHAPARRAL,0,3049-01-01T00:00:00Z,33,,57,,17
vehicledef_APC_Maxim_BAv2,0,,0,3058-01-01T00:00:00Z,20,,5
vehicledef_CHAPARRAL_SRM,0,,0,3060-01-01T00:00:00Z,14,,4
vehicledef_APC_Maxim_3052FS,0,,0,3053-01-01T00:00:00Z,14,,4
vehicledef_ZEPHYR,0,,0,3058-01-01T00:00:00Z,195,,78
vehicledef_DRILLSON_SRM,4,,5,,12,,10
vehicledef_DRILLSON,20,,20,,35,,5
vehicledef_CONDOR_LASER,0,,0,3061-01-01T00:00:00Z,15,,16
vehicledef_TYR,0,,0,,0,3063-01-01T00:00:00Z,20
Heavies,,,,,,,
vehicledef_RECOVERY_HeavyMech,4,,4,,16,,6
vehicledef_DRONECARRIER,2,,2,,8,,3
vehicledef_CARRIER_AC2,4,,4,,8,,2
vehicledef_CARRIER_LBX,0,,0,,0,3063-01-01T00:00:00Z,22
vehicledef_BULLDOG_AC2,4,,4,,12,,1
vehicledef_CARRIER_LASER,6,,6,,16,,6
vehicledef_THUMPER,16,,8,,16,,6
vehicledef_BULLDOG,8,,8,,23,,1
vehicledef_PIKE,6,,6,,16,,0
vehicledef_TOKUGAWA_TKG-151,2,,5,,28,,2
vehicledef_TOKUGAWA_TKG-150,2,,3,,3,,1
vehicledef_BULLDOG_LRM,4,,4,,12,,1
vehicledef_CARRIER_MRM,0,,0,,0,3063-01-01T00:00:00Z,47
vehicledef_CARRIER_SRM_NARC,0,,0,3055-01-01T00:00:00Z,65,,17
vehicledef_CARRIER_LRM_3055,0,,0,3058-01-01T00:00:00Z,309,,100
vehicledef_MAGI,0,,0,3058-01-01T00:00:00Z,63,,16
vehicledef_CARRIER_SRM,16,,16,,34,,12
vehicledef_CARRIER_LRM,16,,16,,28,,6
vehicledef_AXEL_MK2,0,3036-01-01T00:00:00Z,4,,22,,5
vehicledef_CARRIER_SRM_C3,0,,0,,0,3065-01-01T00:00:00Z,8
vehicledef_AXEL,0,3036-01-01T00:00:00Z,8,,43,,11
vehicledef_ROMMEL,6,,5,,20,,8
vehicledef_PATTON,6,,6,,14,,1
vehicledef_BRUTUS_PPCv2,0,3049-01-01T00:00:00Z,1,,2,,1
vehicledef_MANTICORE,23,,23,,92,,8
vehicledef_VONLUCKNER_VNL-K70,1,,1,,3,,1
vehicledef_DEMON,0,,0,3058-01-01T00:00:00Z,126,,66
vehicledef_VONLUCKNER_VNL-K65N,5,,5,,9,,2
vehicledef_BRUTUS,0,3049-01-01T00:00:00Z,2,,8,,3
vehicledef_PATTON_ULTRA,0,,0,,0,3062-01-01T00:00:00Z,31
vehicledef_BRUTUS_PPC,0,3049-01-01T00:00:00Z,1,,2,,1
vehicledef_BRUTUS_LRM,0,3049-01-01T00:00:00Z,1,,4,,1
vehicledef_VONLUCKNER_VNL-K75N,0,,0,,0,3062-01-01T00:00:00Z,19
Assaults,,,,,,,
vehicledef_PARTISAN_AC2,2,,2,,8,,0
vehicledef_PARTISAN,14,,10,,45,,0
vehicledef_SCHREK_AC,6,,4,,28,,3
vehicledef_SCHREK_MG,1,,1,,3,,1
vehicledef_DEMOLISHER_MG,4,,2,,9,,2
vehicledef_PARTISAN_AD,0,,0,3059-01-01T00:00:00Z,154,,49
vehicledef_SCHREK,6,,6,,37,,6
vehicledef_ONTOS,0,3049-01-01T00:00:00Z,3,,11,,1
vehicledef_DEMOLISHER_DUPE,6,,3,,9,,1
vehicledef_DEMOLISHER,16,,10,,37,,7
vehicledef_PARTISAN_LRM,2,,2,,8,,0
vehicledef_DEVASTATOR,8,,6,,28,,0
vehicledef_SCHILTRON-C,0,,0,3060-01-01T00:00:00Z,20,,7
vehicledef_BEHEMOTH_FLAMER,2,,1,,5,,1
vehicledef_BEHEMOTH,19,,14,,57,,6
vehicledef_ONTOS_3053,0,,0,3053-01-01T00:00:00Z,125,,30
vehicledef_ONTOS_LGAUSS,0,,0,,0,3065-01-01T00:00:00Z,11
vehicledef_DEMOLISHER_ARROWIV,0,,0,,0,3062-01-01T00:00:00Z,21
vehicledef_MORRIGU_LASER,0,,0,,0,3067-01-01T00:00:00Z,2
vehicledef_BEHEMOTH_KURITA,0,,0,,0,3062-01-01T00:00:00Z,11
vehicledef_PUMA_PAT-005,0,,0,3055-01-01T00:00:00Z,39,,7
vehicledef_STURMFEUR,4,,3,,14,,0
vehicledef_BEHEMOTH_ARMOR,2,,2,,7,,1
vehicledef_RHINO_FLAMER,5,,4,,18,,2
vehicledef_SCHILTRON-B,0,,0,3060-01-01T00:00:00Z,29,,11
vehicledef_RHINO_MG,5,,4,,18,,2
vehicledef_SCHILTRON-A,0,,0,3060-01-01T00:00:00Z,29,,11
vehicledef_RHINO,11,,8,,35,,4
vehicledef_RHINO_SL,3,,2,,9,,1
vehicledef_DEMOLISHER_GAUSS,0,,0,3053-01-01T00:00:00Z,206,,48
vehicledef_SCHILTRON-D,0,,0,,0,3063-01-01T00:00:00Z,5
vehicledef_MORRIGU,0,,0,,0,3067-01-01T00:00:00Z,12
