Arc-RoyalDCAVehicles,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dates,3058-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3064-01-01T00:00:00Z,,3067-01-01T00:00:00Z
vehicledef_STURMVOGEL_GUNSHIP,0,,0,,0,3065-01-01T00:00:00Z,61
vehicledef_CONDOR,23,,13,,13,,2
vehicledef_GOBLIN_LRM,1,,1,,1,,0
vehicledef_FALCON,10,,8,,8,,10
vehicledef_APC_Maxim_SRM4,2,,1,,1,,1
vehicledef_BANDIT-H,6,,16,,28,,49
vehicledef_VEDETTE_RAC,0,,0,,0,3067-01-01T00:00:00Z,299
vehicledef_APC_Maxim_3052AP,27,,13,,22,,22
vehicledef_CONDOR_FLAMER,2,,2,,2,,2
vehicledef_BANDIT-B,1,,1,,1,,2
vehicledef_APC_Maxim_SRM2,2,,1,,1,,1
vehicledef_APC_Maxim,13,,6,,6,,1
vehicledef_APC_Maxim_I,0,3060-01-01T00:00:00Z,39,,127,,431
vehicledef_GOBLIN_IS,95,,81,,145,,216
vehicledef_BANDIT-C,1,,2,,2,,2
vehicledef_APC_Maxim_3052U,27,,13,,22,,15
vehicledef_APC_Maxim_BA,38,,25,,44,,44
vehicledef_CHAPARRAL_MG,0,,0,3062-01-01T00:00:00Z,24,,26
vehicledef_GLAIVE,0,,0,,0,3067-01-01T00:00:00Z,216
vehicledef_CHAPARRAL,134,,54,,95,,105
vehicledef_MYRMIDON,0,3060-01-01T00:00:00Z,4,,8,,24
vehicledef_APC_Maxim_BAv2,19,,13,,22,,22
vehicledef_BANDIT-D,1,,2,,2,,2
vehicledef_CHAPARRAL_SRM,0,3060-01-01T00:00:00Z,19,,34,,37
vehicledef_BANDIT-G,1,,1,,1,,1
vehicledef_BANDIT-E,1,,2,,2,,2
vehicledef_APC_Maxim_3052FS,54,,25,,44,,44
vehicledef_BANDIT-F,1,,1,,1,,1
vehicledef_DRILLSON_STREAK,126,,94,,167,,81
vehicledef_BANDIT-A,1,,1,,1,,1
vehicledef_ZEPHYR,107,,91,,162,,243
vehicledef_DRILLSON_SRM,5,,4,,4,,1
vehicledef_BANDIT-PRIME,1,,2,,2,,2
vehicledef_DRILLSON,15,,10,,10,,1
vehicledef_DRILLSON_ERLL,16,,12,,21,,7
vehicledef_CONDOR_LASER,0,3061-01-01T00:00:00Z,30,,64,,161
vehicledef_FULCRUM,427,,258,,459,,740
vehicledef_FULCRUM_II,0,,0,,0,3067-01-01T00:00:00Z,92
Heavies,,,,,,,
vehicledef_RECOVERY_HeavyMech,17,,17,,17,,5
vehicledef_FULMAR_ORIGINAL,3,,3,,3,,1
vehicledef_DRONECARRIER,9,,8,,9,,3
vehicledef_CARRIER_AC2,17,,10,,10,,2
vehicledef_CARRIER_LBX,0,,0,3063-01-01T00:00:00Z,93,,78
vehicledef_BULLDOG_AC2,6,,6,,6,,0
vehicledef_CARRIER_LASER,24,,17,,17,,0
vehicledef_THUMPER,24,,17,,17,,5
vehicledef_BULLDOG,12,,6,,6,,0
vehicledef_PIKE,17,,12,,12,,0
vehicledef_PO,17,,17,,17,,5
vehicledef_MORNINGSTAR,0,,0,,0,3065-01-01T00:00:00Z,58
vehicledef_BULLDOG_LRM,6,,6,,6,,0
vehicledef_CARRIER_MRM,0,,0,3063-01-01T00:00:00Z,214,,185
vehicledef_CARRIER_SRM_NARC,233,,124,,149,,91
vehicledef_CARRIER_LRM_3055,407,,438,,527,,371
vehicledef_CARRIER_SRM,37,,33,,33,,10
vehicledef_CARRIER_LRM,45,,30,,30,,7
vehicledef_CARRIER_SRM_C3,0,,0,,0,3065-01-01T00:00:00Z,46
vehicledef_ZHUKOV,17,,17,,17,,5
vehicledef_ROMMEL,16,,8,,8,,2
vehicledef_MANTICORE_3055,494,,288,,346,,296
vehicledef_MANTICORE_LBX,0,3060-01-01T00:00:00Z,112,,182,,105
vehicledef_PATTON,34,,19,,19,,1
vehicledef_BRUTUS_PPCv2,2,,2,,2,,1
vehicledef_MANTICORE,78,,39,,39,,1
vehicledef_VONLUCKNER_VNL-K100,1,,1,,1,,0
vehicledef_TYPHOON_LBX,0,,0,,0,3065-01-01T00:00:00Z,10
vehicledef_VONLUCKNER_VNL-K65N,8,,4,,4,,1
vehicledef_PILUM_ARROWIV,0,3059-01-01T00:00:00Z,26,,32,,20
vehicledef_TYPHOON,153,,84,,101,,62
vehicledef_BRUTUS,9,,8,,9,,3
vehicledef_PILUM,173,,101,,121,,74
vehicledef_PATTON_ULTRA,0,,0,3062-01-01T00:00:00Z,242,,198
vehicledef_ROMMEL_GAUSS,144,,168,,202,,141
vehicledef_BRUTUS_PPC,2,,2,,2,,1
vehicledef_BRUTUS_LRM,4,,4,,4,,1
vehicledef_VONLUCKNER_VNL-K75N,0,,0,3062-01-01T00:00:00Z,36,,37
vehicledef_TYPHOON_RAC,0,,0,3064-01-01T00:00:00Z,16,,10
vehicledef_MANTEUFFEL-A,0,,0,3062-01-01T00:00:00Z,55,,35
vehicledef_MANTEUFFEL-B,0,,0,3062-01-01T00:00:00Z,20,,12
vehicledef_MANTEUFFEL-PRIME,0,,0,3062-01-01T00:00:00Z,78,,50
Assaults,,,,,,,
vehicledef_PARTISAN_AC2,3,,2,,2,,1
vehicledef_PARTISAN,18,,13,,13,,3
vehicledef_SCHREK_AC,3,,4,,4,,4
vehicledef_SCHREK_MG,1,,1,,1,,1
vehicledef_DEMOLISHER_MG,3,,2,,2,,2
vehicledef_PARTISAN_AD,31,,137,,223,,902
vehicledef_SCHREK,11,,15,,15,,12
vehicledef_ONTOS,4,,3,,3,,3
vehicledef_CARRIER_HEAVYLRM,0,3059-01-01T00:00:00Z,6,,6,,7
vehicledef_DEMOLISHER,16,,10,,10,,9
vehicledef_PARTISAN_LRM,3,,2,,2,,1
vehicledef_DEVASTATOR,8,,11,,11,,0
vehicledef_SCHILTRON-C,0,3060-01-01T00:00:00Z,6,,10,,49
vehicledef_BEHEMOTH_FLAMER,1,,1,,1,,1
vehicledef_ONTOS_LRM,1,,1,,1,,1
vehicledef_BEHEMOTH,9,,8,,8,,7
vehicledef_ONTOS_3053,87,,69,,112,,340
vehicledef_ONTOS_LGAUSS,0,,0,,0,3065-01-01T00:00:00Z,120
vehicledef_ONTOS_FUSION,1,,1,,1,,1
vehicledef_DEMOLISHER_ARROWIV,0,,0,3062-01-01T00:00:00Z,54,,117
vehicledef_MORRIGU_LASER,0,,0,,0,3067-01-01T00:00:00Z,54
vehicledef_BEHEMOTH_KURITA,0,,0,3062-01-01T00:00:00Z,29,,75
vehicledef_FORTUNE,0,,0,,0,3067-01-01T00:00:00Z,80
vehicledef_STURMFEUR_SRM,1,,1,,1,,2
vehicledef_STURMFEUR,7,,8,,8,,6
vehicledef_BEHEMOTH_ARMOR,1,,1,,1,,1
vehicledef_SCHILTRON-PRIME,0,3059-01-01T00:00:00Z,6,,10,,49
vehicledef_RHINO_FLAMER,5,,5,,5,,6
vehicledef_SCHILTRON-B,0,3060-01-01T00:00:00Z,9,,15,,69
vehicledef_RHINO_MG,5,,5,,5,,6
vehicledef_SCHILTRON-A,0,3060-01-01T00:00:00Z,9,,15,,69
vehicledef_RHINO,10,,10,,10,,13
vehicledef_RHINO_SL,3,,3,,3,,3
vehicledef_DEMOLISHER_GAUSS,125,,100,,162,,344
vehicledef_SCHILTRON-D,0,,0,3063-01-01T00:00:00Z,7,,35
vehicledef_DEMOLISHER_II,0,3059-01-01T00:00:00Z,69,,112,,401
vehicledef_MORRIGU,0,,0,,0,3067-01-01T00:00:00Z,304
vehicledef_CHALLENGER_MBT-X,177,,76,,123,,249
vehicledef_STURMFEUR_HGAUSS,0,,0,,0,3066-01-01T00:00:00Z,201
vehicledef_CHALLENGER_MBT-XI,0,,0,3062-01-01T00:00:00Z,44,,88
vehicledef_ALACORN_MK-VI,62,,78,,126,,361
vehicledef_CHALLENGER_MBT-XII,0,,0,,0,3065-01-01T00:00:00Z,62
vehicledef_ALACORN_MK-VII,0,,0,3063-01-01T00:00:00Z,22,,64
