Steiner,,,,,,,,,
mechdef_marauder_MAD-3R,27,,26,,26,,26,,26
mechdef_guillotine_GLT-4P,4,,4,,4,,4,,4
mechdef_archer_ARC-2S,76,,74,,74,,74,,74
mechdef_catapult_CPLT-C1,4,,4,,4,,4,,4
mechdef_guillotine_GLT-4L,19,,19,,18,,18,,18
mechdef_thunderbolt_TDR-5SE,3,,3,,3,,3,,3
mechdef_grasshopper_GHR-5H,27,,26,,25,,25,,25
mechdef_orion_ON1-K,38,,37,,37,,37,,37
mechdef_blackknight_BL-7-KNT,4,,4,,4,,4,,4
mechdef_stalker_STK-4P,7,,7,,7,,7,,7
mechdef_archer_ARC-2R,121,,120,,119,,119,,119
mechdef_flashman_FLS-7K,38,,37,,37,,37,,37
Assaults,,,,,,,,,
mechdef_cyclops_CP-10-Z,26,,23,,23,,23,,23
mechdef_longbow_LGB-0W,60,,52,,52,,52,,52
mechdef_zeus_ZEU-6S,184,,158,,158,,158,,158
mechdef_victor_VTR-9B,26,,23,,23,,23,,23
mechdef_zeus_ZEU-6A,11,,9,,9,,9,,9
mechdef_annihilator_ANH-1A,3,,3,,3,,3,,3
mechdef_zeus_ZEU-6T,0,3026-01-01T00:00:00Z,64,,64,,64,,64
mechdef_goliath_GOL-1H,19,,16,,16,,16,,16
mechdef_striker_STC-2S,26,,23,,23,,23,,23
mechdef_awesome_AWS-8R,4,,3,,3,,3,,3
mechdef_striker_STC-2C,19,,16,,16,,16,,16
mechdef_battlemaster_BLR-1S,10,,23,,23,,23,,23
mechdef_awesome_AWS-8V,4,,3,,3,,3,,3
mechdef_battlemaster_BLR-1G,60,,52,,52,,52,,52
mechdef_stalker_STK-4N,19,,16,,16,,16,,16
mechdef_stalker_STK-3F,124,,105,,105,,105,,105
mechdef_cyclops_CP-10-Q,7,,6,,6,,6,,6
mechdef_awesome_AWS-8T,4,,3,,3,,3,,3
mechdef_awesome_AWS-8Q,60,,52,,52,,52,,52
mechdef_longbow_LGB-7Q,26,,23,,23,,23,,23
mechdef_stalker_STK-3H,19,,16,,16,,16,,16
mechdef_banshee_BNC-3S,10,,52,,52,,52,,52
mechdef_atlas_AS7-A,7,,6,,6,,6,,6
mechdef_highlander_HGN-733,26,,32,,32,,32,,32
mechdef_kingcrab_KGC-0000,7,,6,,6,,6,,6
mechdef_highlander_HGN-733C,7,,6,,6,,6,,6
mechdef_devastator_DVS-1D,0,3036-01-01T00:00:00Z,3,,3,,3,,3
mechdef_highlander_HGN-733P,7,,6,,6,,6,,6
mechdef_atlas_AS7-D,60,,52,,52,,52,,52
mechdef_cyclops_CP-10-HQ,4,,3,,3,,3,,3
mechdef_atlas_AS7-D-DC,4,,3,,3,,3,,3
mechdef_charger_CGR-SB,0,3025-07-01T00:00:00Z,3,,3,,3,,3
mechdef_zeus_ZEU-6S-DC,3,,3,,3,,3,,3
mechdef_marauderII_MAD-4A,3,,3,,3,,3,,3
mechdef_emperor_EMP-5A,3,,3,,3,,3,,3
