MagistracyOfCanopus,,,,,,,
mechdef_ostroc_OSR-3C,6,,5,,6,,6
mechdef_orion_ON1-V,6,,5,,6,,6
mechdef_warhammer_WHM-6R,117,,105,,105,,117
mechdef_crusader_CRD-3R,117,,105,,105,,117
mechdef_orion_ON1-VA,6,,5,,6,,6
mechdef_thunderbolt_TDR-5S,117,,105,,105,,117
mechdef_bombardier_BMB-10D,6,,5,,6,,6
mechdef_marauder_MAD-3R,12,,12,,12,,12
mechdef_guillotine_GLT-4P,6,,5,,6,,6
mechdef_guillotine_GLT-4L,12,,10,,10,,10
mechdef_grasshopper_GHR-5H,55,,44,,41,,33
mechdef_grasshopper_GHR-5N,0,,0,3050-01-01T00:00:00Z,3,,3
mechdef_grasshopper_GHR-5J,0,,0,3050-01-01T00:00:00Z,3,,3
mechdef_orion_ON1-K,41,,33,,33,,33
mechdef_stalker_STK-4P,18,,14,,18,,33
mechdef_archer_ARC-2R,117,,94,,94,,94
mechdef_grasshopper_GHR-4R,3,,3,,3,,3
mechdef_orion_ON1-M,0,,0,3050-01-01T00:00:00Z,6,,10
mechdef_bandersnatch_BNDR-01A,0,,0,3052-01-01T00:00:00Z,3,,3
mechdef_thunder_THR-1L,0,,0,3055-01-01T00:00:00Z,6,,10
mechdef_orion_ON1-MB,0,,0,,0,3058-01-01T00:00:00Z,3
mechdef_thunderbolt_TDR-8M,0,,0,,0,3058-01-01T00:00:00Z,6
Assaults,,,,,,,
mechdef_cyclops_CP-10-Z,11,,10,,7,,7
mechdef_cyclops_CP-11-A,0,,0,3045-01-01T00:00:00Z,3,,3
mechdef_longbow_LGB-0W,91,,82,,82,,104
mechdef_victor_VTR-9B,11,,10,,10,,14
mechdef_banshee_BNC-3E,182,Jump:3033-12-01T00:00:00Z,7,,3,,3
mechdef_banshee_BNC-3MC,0,Jump:3033-12-01T00:00:00Z,170,,182,,195
mechdef_goliath_GOL-1H,6,,5,,5,,5
mechdef_awesome_AWS-8R,11,,10,,10,,14
mechdef_striker_STC-2C,24,,22,,22,,22
mechdef_awesome_AWS-8V,11,,10,,10,,14
mechdef_battlemaster_BLR-1G,24,,22,,22,,22
mechdef_stalker_STK-4N,42,,38,,38,,53
mechdef_stalker_STK-3F,303,,273,,271,,250
mechdef_cyclops_CP-10-Q,6,,5,,5,,5
mechdef_awesome_AWS-8T,11,,10,,10,,14
mechdef_awesome_AWS-8Q,121,,97,,97,,75
mechdef_awesome_AWS-9Q,0,,0,,0,3057-01-01T00:00:00Z,22
mechdef_longbow_LGB-7Q,42,,34,,34,,34
mechdef_stalker_STK-3H,42,,34,,34,,34
mechdef_atlas_AS7-A,6,,5,,5,,5
mechdef_atlas_AS7-D,6,,5,,5,,5
mechdef_zeus_ZEU-6Y,3,,3,,3,,3
mechdef_stalker_STK-5M,0,,0,3050-01-01T00:00:00Z,10,,10
mechdef_longbow_LGB-7V,0,,0,3056-01-01T00:00:00Z,3,,10
mechdef_cerberus_MR-V2,0,,0,3054-01-01T00:00:00Z,3,,5
mechdef_pillager_PLG-1N,6,,5,,5,,5
